Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
,Czechia,49.8175,15.473,0,0,1120,7132,8813,10523,14570,21790,53158,223065,492263,635414,924847,1157180,1467333,1612832,1657558,1666192,1671933,1677512,1687448,1722446,1866969
,Denmark,56.2639,9.5018,0,0,1395,7912,11230,12527,13350,16239,23799,37763,70485,140175,193038,208027,226777,245761,272659,291956,309420,337466,355603,373803,417151
,Diamond Princess,0,0,0,634,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
,Djibouti,11.8251,42.5903,0,0,1,974,2270,4599,5030,5382,5407,5522,5668,5786,5917,6026,6658,10697,11491,11595,11628,11696,12207,13436,13494
,Dominica,15.415,-61.371,0,0,1,16,16,18,18,19,24,33,72,88,113,134,156,172,184,191,209,1339,3134,4508,5235
,Dominican Republic,18.7357,-70.1627,0,0,202,5300,13989,27370,56043,90561,109269,122873,138410,161930,201145,235882,249776,262935,282685,318368,338902,347835,356042,374722,393383
,Ecuador,-1.8312,-78.1834,0,0,789,10850,35828,50640,77257,107089,127643,156451,185643,206364,237158,274968,312851,365393,417840,447176,479784,495115,507020,514087,519560
,Egypt,26.820553,30.802498,0,1,327,3659,15786,56809,89745,97237,102254,106060,113027,127061,160463,178774,196061,219774,252690,278295,283906,286352,298988,322852,342097
,El Salvador,13.7942,-88.8965,0,0,3,237,1725,4808,12975,24420,27954,32262,37562,44058,52672,59235,63490,68161,72220,77484,84144,92686,102024,112290,117544
,Equatorial Guinea,1.6508,10.2679,0,0,6,84,960,1664,3071,4926,5018,5074,5130,5231,5401,5798,6780,7505,8436,8708,8848,9049,11544,13097,13485
,Eritrea,15.1794,39.7823,0,0,1,39,39,143,251,306,364,457,551,832,1940,2703,3118,3597,3932,5508,6480,6623,6680,6788,7039
,Estonia,58.5953,25.0136,0,0,326,1559,1807,1981,2025,2265,2976,4247,9724,22647,39701,58445,96394,119218,128489,130855,132179,138807,151292,178610,210542
,Eswatini,-26.5225,31.4659,0,0,4,31,225,643,1938,4189,5307,5814,6219,7715,14219,16807,17290,18426,18550,18854,21880,40455,45578,46383,46466
,Ethiopia,9.145,40.4897,0,0,11,116,433,4663,11524,39033,70422,91693,105785,120638,132881,153541,188902,247989,268901,275391,278105,295804,336762,361647,368346
,Fiji,-17.7134,178.065,0,0,2,18,18,18,27,28,32,33,35,46,55,56,67,86,224,2270,21361,43597,50270,51977,52397
