Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/22/21
,Somalia,5.152149,46.199616,0,0,0,4,204,818,1495,2396,2877,3166,3412,3605,3666,3778,4532,5593,6662,7216,7277,7277,7277,7277,7277
,South Africa,-30.5595,22.9375,0,0,0,1055,10104,53444,229175,504127,592904,642560,710099,808241,1201284,1413566,1463953,1496756,1537430,1665540,2109820,2109820,2109820,2109820,2109820
,South Sudan,6.877,31.307,0,0,0,0,6,190,1175,1290,1290,1290,1290,3111,3542,4014,8779,10250,10462,10514,10514,10514,10514,10514,10514
,Spain,40.463667,-3.74922,0,2,2575,85915,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376,150376
,Sri Lanka,7.873054,80.771797,0,1,3,105,620,1526,2064,2798,3118,3561,14069,29300,48617,75110,87058,93884,126995,209296,264755,264755,264755,264755,264755
,Sudan,12.8628,30.2176,0,0,0,12,372,3460,5835,6492,6760,6764,9737,13524,15688,22797,23725,26411,27949,30370,30647,30647,30647,30647,30647
,Summer Olympics 2020,35.6491,139.7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Suriname,3.9193,-56.0278,0,0,0,6,9,132,739,2559,4541,4995,5168,5323,7112,8349,8560,8965,10729,15518,20846,20846,20846,20846,20846
,Sweden,60.128161,18.643501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Switzerland,46.8182,8.2275,0,0,131,19900,27900,29000,30500,34100,42100,55700,180700,311500,317600,317600,317600,317600,317600,317600,317600,317600,317600,317600,317600
,Syria,34.8021,38.9968,0,0,0,6,37,83,165,490,983,1655,3097,4885,6918,9307,11693,15376,21534,21756,21933,21933,21933,21933,21933
,Taiwan*,23.7,121,0,2,28,236,408,435,440,457,479,497,548,632,777,893,963,1041,1133,8087,12456,12456,12456,12456,12456
,Tajikistan,38.861,71.2761,0,0,0,0,1089,4039,5741,7072,8199,9724,11271,12496,13218,13218,13218,13218,13218,13218,13902,13902,13902,13902,13902
,Tanzania,-6.369028,34.888822,0,0,0,11,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
,Thailand,15.870032,100.992541,2,20,45,2352,2910,3022,3105,3220,3345,3518,3766,4095,10224,24361,26663,26873,26873,26873,26873,26873,26873,26873,26873
,Timor-Leste,-8.8742,125.7275,0,0,0,1,24,24,24,25,27,28,30,31,49,82,124,795,2960,7762,9484,9484,9484,9484,9484
,Togo,8.6195,0.8248,0,0,1,56,121,380,578,903,1290,1574,2248,3091,3927,5323,7242,10512,12222,13362,13907,13907,13907,13907,13907
,Tonga,-21.179,-175.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,0,0,1,37,108,109,127,165,1871,3876,5610,6488,6991,7411,7571,8065,11314,22267,30043,30043,30043,30043,30043
,Tunisia,33.886917,9.537499,0,0,1,190,903,1020,1108,1434,2386,5032,62249,95763,140180,189358,213106,244517,295170,339065,453865,453865,453865,453865,453865
,Turkey,38.9637,35.2433,0,0,0,16477,116111,161533,205214,236370,269696,310027,374637,1866815,2296050,2529450,2844681,3909935,5013111,5242945,5405339,5405339,5405339,5405339,5405339
,US,40,-100,0,5,178,77366,350135,640198,1210849,1985484,2646959,3353056,4526513,4526514,4526515,4526516,4526517,4526518,4526519,4526520,4526521,4526522,4526523,4526524,4526525
,Uganda,1.373333,32.290275,0,0,0,45,68,631,958,1199,2778,7210,8611,10646,13699,14608,15133,40898,42880,50085,71750,71750,71750,71750,71750
,Ukraine,48.3794,31.1656,0,0,1,424,6585,17211,34176,53458,82927,140322,299592,622519,961668,1188859,1306822,1582924,1994944,2209581,2248036,2248036,2248036,2248036,2248036
,United Arab Emirates,23.424076,53.847818,0,4,38,1546,13798,33046,50354,58408,76025,113364,148871,171451,243267,363052,424840,486920,534481,595086,644753,644753,644753,644753,644753
Anguilla,United Kingdom,18.2206,-63.0686,0,0,0,1,3,3,3,3,3,3,3,10,15,18,20,25,107,109,111,111,111,111,111
Bermuda,United Kingdom,32.3078,-64.7505,0,0,0,39,81,132,139,149,166,175,200,291,625,679,712,1394,2383,2461,2487,2487,2487,2487,2487
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,0,3,6,7,7,8,48,70,70,74,95,95,131,183,209,209,588,588,588,588,588
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,0,7,61,146,201,202,205,215,245,288,346,403,448,509,554,588,618,618,618,618,618
Channel Islands,United Kingdom,49.3723,-2.3644,0,0,0,285,508,512,529,545,575,659,887,1535,3148,3858,3965,3956,3956,3994,5022,5022,5022,5022,5022
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,0,0,3,13,13,13,13,13,13,13,17,29,43,54,62,63,63,63,63,63,63,63
Gibraltar,United Kingdom,36.1408,-5.3536,0,0,2,127,147,176,180,201,323,495,860,1075,3097,4103,4148,4182,4192,4214,4336,4336,4336,4336,4336
Isle of Man,United Kingdom,54.2361,-4.5481,0,0,0,212,303,312,312,312,312,321,332,346,357,409,597,1545,1561,1566,1638,1638,1638,1638,1638
Montserrat,United Kingdom,16.742498,-62.187366,0,0,0,2,10,10,10,12,12,12,12,12,12,13,19,19,19,19,19,19,19,19,19
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,0,0,4,10,11,22,102,581,689,700,761,954,1721,2127,2316,2379,2389,2404,2404,2404,2404,2404
,United Kingdom,55.3781,-3.436,0,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uruguay,-32.5228,-55.7658,0,0,0,337,603,815,934,1264,1645,2204,3679,9127,27715,46845,68983,145464,224787,329662,370711,370711,370711,370711,370711
,Uzbekistan,41.377491,64.585262,0,0,0,450,2492,4450,9872,34576,49067,61658,68827,73460,76752,78171,79884,85007,93633,102546,116755,116755,116755,116755,116755
,Vanuatu,-15.3767,166.9592,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3
,Venezuela,6.4238,-66.5897,0,0,15,122,262,1327,7471,28453,57774,82284,94355,104799,114925,128579,141260,171043,205575,243840,280269,280269,280269,280269,280269
,Vietnam,14.058324,108.277199,0,14,17,223,267,328,365,563,957,1049,1142,1281,1411,1717,2233,2490,2721,5546,13421,13421,13421,13421,13421
,West Bank and Gaza,31.9522,35.2332,0,0,17,71,346,442,1950,11103,25469,42544,59021,101355,143611,162025,199965,256559,297201,306532,310961,310961,310961,310961,310961
,Yemen,15.552727,48.516388,0,0,0,0,6,350,751,1066,1240,1344,1378,1384,1423,1432,1546,2393,3201,3980,4162,4162,4162,4162,4162
,Zambia,-13.133897,27.849332,0,0,0,35,336,1194,1677,9942,13629,15168,16701,17890,32667,68928,83319,89117,91102,111844,177419,177419,177419,177419,177419
,Zimbabwe,-19.015438,29.154857,0,0,0,2,18,64,510,4629,5979,7742,8250,10159,21080,32216,34315,35073,36445,37288,61723,61723,61723,61723,61723
